region	chr	midPos	Nsites
(301,301)(213084,213084)(200000,250000)	JASDQU010010405.1	225000	2	0.056635
(5,547)(203574,204279)(200000,250000)	JASDQU010010416.1	225000	544	0.044030
(495,662)(91294,91466)(50000,100000)	JASDQU010010419.1	75000	169	0.000065
(551,1295)(220839,237081)(200000,250000)	JASDQU010010437.1	225000	746	0.135012
(291,409)(217875,218057)(200000,250000)	JASDQU010010510.1	225000	120	0.045036
(1880,3148)(292750,296638)(250000,300000)	JASDQU010010524.1	275000	1270	0.254511
(145,2871)(50000,82980)(50000,100000)	JASDQU010010538.1	75000	2728	0.032460
(2872,3973)(294004,295135)(250000,300000)	JASDQU010010538.1	275000	1103	0.800444
(3974,5244)(437589,438878)(400000,450000)	JASDQU010010538.1	425000	1272	0.338704
(5245,5352)(481499,481607)(450000,500000)	JASDQU010010538.1	475000	109	0.074830
(693,6812)(225421,234732)(200000,250000)	JASDQU010010545.1	225000	6121	0.223092
(489,965)(229277,230183)(200000,250000)	JASDQU010010551.1	225000	478	0.041953
(254,2026)(59701,97147)(50000,100000)	JASDQU010010577.1	75000	1774	0.683719
(2027,2087)(300557,300633)(300000,350000)	JASDQU010010577.1	325000	62	0.945891
(414,523)(75653,75903)(50000,100000)	JASDQU010010589.1	75000	111	-0.011838
(357,655)(111317,111646)(100000,150000)	JASDQU010010590.1	125000	300	0.104850
(239,1832)(181709,183509)(150000,200000)	JASDQU010010591.1	175000	1595	0.912938
(1087,1290)(78121,78324)(50000,100000)	JASDQU010010600.1	75000	205	0.036939
(4,144)(68536,81644)(50000,100000)	JASDQU010010616.1	75000	142	0.044316
(2830,2847)(108812,108832)(100000,150000)	JASDQU010010631.1	125000	19	0.525294
(652,1207)(236016,236607)(200000,250000)	JASDQU010010639.1	225000	557	0.659388
(122,2578)(164773,169613)(150000,200000)	JASDQU010010645.1	175000	2458	0.349444
(18,584)(108729,112166)(100000,150000)	JASDQU010010655.1	125000	568	0.946321
(665,835)(155739,155909)(150000,200000)	JASDQU010010661.1	175000	172	0.042801
(760,3644)(161638,166474)(150000,200000)	JASDQU010010666.1	175000	2886	0.840866
(3645,3745)(397016,397130)(350000,400000)	JASDQU010010666.1	375000	102	0.060173
(330,756)(75071,86469)(50000,100000)	JASDQU010010688.1	75000	428	0.028523
(117,1462)(212693,214061)(200000,250000)	JASDQU010010690.1	225000	1347	0.609982
(105,139)(110084,110159)(100000,150000)	JASDQU010010692.1	125000	36	0.082105
(2380,2527)(75541,75717)(50000,100000)	JASDQU010010697.1	75000	149	0.837829
(205,819)(150000,150629)(150000,200000)	JASDQU010010711.1	175000	616	0.407465
(747,806)(88271,88334)(50000,100000)	JASDQU010010712.1	75000	61	0.066266
(176,659)(100000,100521)(100000,150000)	JASDQU010010736.1	125000	485	0.234008
(1055,1190)(58009,58163)(50000,100000)	JASDQU010010737.1	75000	137	0.062660
(760,1551)(196222,197023)(150000,200000)	JASDQU010010770.1	175000	793	0.035725
(917,1799)(50774,51672)(50000,100000)	JASDQU010010788.1	75000	884	0.209098
(344,673)(160442,160778)(150000,200000)	JASDQU010010812.1	175000	331	0.047599
(674,692)(210095,210125)(200000,250000)	JASDQU010010812.1	225000	20	-0.024304
(1500,1563)(118004,118255)(100000,150000)	JASDQU010010819.1	125000	65	0.025854
(151,2644)(109756,114124)(100000,150000)	JASDQU010010860.1	125000	2495	0.233845
(1836,4040)(82514,94496)(50000,100000)	JASDQU010010883.1	75000	2206	0.178689
(727,1420)(145043,145744)(100000,150000)	JASDQU010010916.1	125000	695	0.078974
(934,1679)(51242,52014)(50000,100000)	JASDQU010010917.1	75000	747	0.321040
(1993,2090)(197007,197390)(150000,200000)	JASDQU010010949.1	175000	99	0.037781
(92,853)(72123,98030)(50000,100000)	JASDQU010010950.1	75000	763	0.141783
(665,672)(125845,125857)(100000,150000)	JASDQU010010955.1	125000	9	0.060427
(135,796)(191001,191667)(150000,200000)	JASDQU010010971.1	175000	663	0.410299
(797,952)(201222,201705)(200000,250000)	JASDQU010010971.1	225000	157	0.076504
(217,1358)(70545,95036)(50000,100000)	JASDQU010010976.1	75000	1143	0.362098
(490,1749)(123520,148973)(100000,150000)	JASDQU010010977.1	125000	1261	0.165389
(2203,2330)(114971,115109)(100000,150000)	JASDQU010011022.1	125000	129	0.155447
(473,1055)(50181,83695)(50000,100000)	JASDQU010011027.1	75000	584	0.037522
(504,752)(272041,272600)(250000,300000)	JASDQU010011044.1	275000	250	0.229238
(384,402)(56822,56842)(50000,100000)	JASDQU010011050.1	75000	20	0.040440
(517,1563)(59416,83581)(50000,100000)	JASDQU010011054.1	75000	1048	0.575956
(1564,1623)(245845,245908)(200000,250000)	JASDQU010011054.1	225000	61	0.890726
(925,1210)(170415,180699)(150000,200000)	JASDQU010011056.1	175000	287	0.784440
(380,581)(291536,291742)(250000,300000)	JASDQU010011088.1	275000	203	0.476663
(582,797)(342646,342864)(300000,350000)	JASDQU010011088.1	325000	217	0.370606
(824,1658)(302342,309236)(300000,350000)	JASDQU010011092.1	325000	836	0.344032
(1756,1990)(87701,87968)(50000,100000)	JASDQU010011112.1	75000	236	0.150384
(283,988)(109962,124674)(100000,150000)	JASDQU010011116.1	125000	707	0.331937
(173,1169)(246320,247331)(200000,250000)	JASDQU010011137.1	225000	998	0.479515
(866,905)(55393,55771)(50000,100000)	JASDQU010011159.1	75000	41	0.258352
(486,1109)(156315,156966)(150000,200000)	JASDQU010011186.1	175000	625	0.293300
(297,531)(208204,208514)(200000,250000)	JASDQU010011208.1	225000	236	0.023717
(532,647)(349496,349644)(300000,350000)	JASDQU010011208.1	325000	117	0.413488
(497,1679)(123045,142542)(100000,150000)	JASDQU010011232.1	125000	1184	0.114393
(4482,4813)(381669,382073)(350000,400000)	JASDQU010011246.1	375000	333	0.207926
(238,306)(74054,74188)(50000,100000)	JASDQU010011254.1	75000	70	0.058391
(307,2388)(108512,142179)(100000,150000)	JASDQU010011254.1	125000	2083	0.472933
(144,1023)(55962,76392)(50000,100000)	JASDQU010011265.1	75000	881	0.326708
(262,1078)(198158,198985)(150000,200000)	JASDQU010011279.1	175000	818	0.595127
(32,743)(146307,147021)(100000,150000)	JASDQU010011285.1	125000	713	0.400122
(744,2098)(157617,158990)(150000,200000)	JASDQU010011285.1	175000	1356	0.319028
(1610,2455)(187072,187918)(150000,200000)	JASDQU010011294.1	175000	847	0.080476
(410,1784)(132376,133759)(100000,150000)	JASDQU010011299.1	125000	1376	0.748224
(1785,2220)(167361,197535)(150000,200000)	JASDQU010011299.1	175000	437	0.453583
(1290,1395)(150158,150293)(150000,200000)	JASDQU010011325.1	175000	107	0.202111
(835,1666)(154513,181826)(150000,200000)	JASDQU010011334.1	175000	833	0.034062
(233,1140)(143553,145051)(100000,150000)	JASDQU010011340.1	125000	909	0.030522
(151,165)(294175,294193)(250000,300000)	JASDQU010011396.1	275000	16	0.143036
(231,512)(96327,96696)(50000,100000)	JASDQU010011404.1	75000	283	0.049876
(513,520)(309178,309198)(300000,350000)	JASDQU010011404.1	325000	9	0.054165
(521,1016)(394586,395083)(350000,400000)	JASDQU010011404.1	375000	497	0.491663
(1017,1146)(419061,427153)(400000,450000)	JASDQU010011404.1	425000	131	0.111596
(1147,1180)(452221,452254)(450000,500000)	JASDQU010011404.1	475000	35	0.092238
(593,3499)(251748,270782)(250000,300000)	JASDQU010011406.1	275000	2908	0.253511
(1024,1873)(102327,132074)(100000,150000)	JASDQU010011412.1	125000	851	0.228181
(2116,6666)(75673,98902)(50000,100000)	JASDQU010011434.1	75000	4552	0.201159
(117,237)(61537,61691)(50000,100000)	JASDQU010011435.1	75000	122	0.410637
(860,1450)(210270,210908)(200000,250000)	JASDQU010011445.1	225000	592	0.248202
(1038,1552)(55977,56646)(50000,100000)	JASDQU010011454.1	75000	516	0.003680
(1553,1742)(145302,145494)(100000,150000)	JASDQU010011454.1	125000	191	0.002341
(1743,1931)(324304,347464)(300000,350000)	JASDQU010011454.1	325000	190	0.071865
(741,891)(75219,75398)(50000,100000)	JASDQU010011495.1	75000	152	0.658539
(839,1803)(98187,99293)(50000,100000)	JASDQU010011509.1	75000	966	0.806149
(60,539)(342317,345691)(300000,350000)	JASDQU010011510.1	325000	481	0.558895
(1827,1961)(140759,140902)(100000,150000)	JASDQU010011523.1	125000	136	0.159977
(2026,3099)(200205,203252)(200000,250000)	JASDQU010011528.1	225000	1075	0.872724
(86,545)(91773,92253)(50000,100000)	JASDQU010011550.1	75000	461	0.018305
(1989,4521)(106465,111685)(100000,150000)	JASDQU010011558.1	125000	2534	0.752619
(925,2439)(260585,265456)(250000,300000)	JASDQU010011594.1	275000	1516	0.402637
(372,1967)(277901,279567)(250000,300000)	JASDQU010011655.1	275000	1597	0.115952
(633,662)(76490,76558)(50000,100000)	JASDQU010011658.1	75000	31	0.026863
(2053,2738)(229950,230638)(200000,250000)	JASDQU010011712.1	225000	687	0.102700
(1598,3080)(70980,90123)(50000,100000)	JASDQU010011713.1	75000	1484	0.311410
(3081,3317)(248915,249158)(200000,250000)	JASDQU010011713.1	225000	238	0.046666
(287,363)(50465,50565)(50000,100000)	JASDQU010011725.1	75000	78	0.065659
(425,762)(205264,205603)(200000,250000)	JASDQU010011735.1	225000	339	0.480691
(434,1592)(150475,168829)(150000,200000)	JASDQU010011737.1	175000	1160	0.039392
(275,1546)(236799,238287)(200000,250000)	JASDQU010011741.1	225000	1273	0.237979
(66,2469)(57544,90004)(50000,100000)	JASDQU010011755.1	75000	2405	0.133030
(2470,2478)(180540,180551)(150000,200000)	JASDQU010011755.1	175000	10	0.053666
(742,4761)(250000,256994)(250000,300000)	JASDQU010011766.1	275000	4021	0.384339
(732,924)(95083,95314)(50000,100000)	JASDQU010011792.1	75000	194	0.048014
(1536,2602)(184307,187878)(150000,200000)	JASDQU010011818.1	175000	1068	0.331460
(88,532)(68462,69878)(50000,100000)	JASDQU010011822.1	75000	446	0.163945
(487,1310)(67795,68661)(50000,100000)	JASDQU010011849.1	75000	825	0.633915
(358,874)(217951,243914)(200000,250000)	JASDQU010011854.1	225000	518	0.010603
(875,1261)(257143,258118)(250000,300000)	JASDQU010011854.1	275000	388	0.060884
(141,325)(100673,100879)(100000,150000)	JASDQU010011859.1	125000	186	0.831101
(1240,1468)(236431,236842)(200000,250000)	JASDQU010011868.1	225000	230	0.106898
(137,549)(139600,140165)(100000,150000)	JASDQU010011895.1	125000	414	0.330715
(713,960)(102008,133336)(100000,150000)	JASDQU010011928.1	125000	249	0.054692
(1506,1512)(174306,174313)(150000,200000)	JASDQU010011939.1	175000	8	0.048759
(110,158)(104431,104489)(100000,150000)	JASDQU010011941.1	125000	50	0.074463
(246,2178)(175441,192195)(150000,200000)	JASDQU010011946.1	175000	1934	0.274566
(146,652)(113208,113736)(100000,150000)	JASDQU010011954.1	125000	508	0.218478
(438,1538)(74031,82818)(50000,100000)	JASDQU010011990.1	75000	1102	0.465574
(1718,2527)(50000,50844)(50000,100000)	JASDQU010012037.1	75000	811	0.530309
(108,294)(52506,79446)(50000,100000)	JASDQU010012102.1	75000	188	0.062237
(183,2355)(114096,117540)(100000,150000)	JASDQU010012175.1	125000	2174	0.193985
(92,1604)(211482,212998)(200000,250000)	JASDQU010012204.1	225000	1514	0.621612
(285,604)(138535,138868)(100000,150000)	JASDQU010012216.1	125000	321	0.568574
(637,1174)(306607,307266)(300000,350000)	JASDQU010012224.1	325000	539	0.235585
(384,1541)(148795,149999)(100000,150000)	JASDQU010012231.1	125000	1159	0.548891
(678,1347)(115170,124096)(100000,150000)	JASDQU010012247.1	125000	671	0.325927
(300,1207)(51551,84607)(50000,100000)	JASDQU010012267.1	75000	909	0.240825
(1259,1476)(60454,60921)(50000,100000)	JASDQU010012272.1	75000	219	0.096541
(34,110)(188623,188715)(150000,200000)	JASDQU010012284.1	175000	78	0.611961
(4837,5979)(51808,81732)(50000,100000)	JASDQU010012294.1	75000	1144	0.273999
(97,2846)(88179,91033)(50000,100000)	JASDQU010012295.1	75000	2751	0.316466
(388,1222)(107646,108482)(100000,150000)	JASDQU010012330.1	125000	836	0.190291
(1223,1232)(189639,189689)(150000,200000)	JASDQU010012330.1	175000	11	0.078475
(1233,3825)(443326,446650)(400000,450000)	JASDQU010012330.1	425000	2594	0.318461
(3826,3881)(499847,499909)(450000,500000)	JASDQU010012330.1	475000	57	0.050281
(246,1132)(161036,161960)(150000,200000)	JASDQU010012341.1	175000	888	0.737169
(52,400)(219420,219798)(200000,250000)	JASDQU010012357.1	225000	350	0.361761
(70,207)(53238,53375)(50000,100000)	JASDQU010012369.1	75000	139	0.003362
(1384,6266)(210772,235465)(200000,250000)	JASDQU010012376.1	225000	4884	0.073525
(914,1602)(150000,165495)(150000,200000)	JASDQU010012403.1	175000	690	0.032147
(931,1300)(51776,52153)(50000,100000)	JASDQU010012404.1	75000	371	0.329665
(150,225)(64355,64443)(50000,100000)	JASDQU010012418.1	75000	77	0.448488
(6,1035)(118935,121392)(100000,150000)	JASDQU010012424.1	125000	1031	0.608704
(893,1247)(284595,285024)(250000,300000)	JASDQU010012430.1	275000	356	0.497980
(1465,2870)(53407,81776)(50000,100000)	JASDQU010012433.1	75000	1407	0.291382
(2483,2683)(150000,174796)(150000,200000)	JASDQU010012436.1	175000	202	0.137606
(2684,5558)(244028,247028)(200000,250000)	JASDQU010012436.1	225000	2876	0.147223
(607,679)(128005,128080)(100000,150000)	JASDQU010012453.1	125000	74	0.069988
(780,1475)(168079,184633)(150000,200000)	JASDQU010012465.1	175000	697	0.026515
(348,1987)(81267,93707)(50000,100000)	JASDQU010012481.1	75000	1641	0.329757
(888,916)(69661,69697)(50000,100000)	JASDQU010012496.1	75000	30	0.132833
(917,1396)(126865,127408)(100000,150000)	JASDQU010012496.1	125000	481	0.086018
(1397,1958)(162080,162706)(150000,200000)	JASDQU010012496.1	175000	563	0.289287
(395,2309)(120147,139738)(100000,150000)	JASDQU010012519.1	125000	1916	0.415332
(741,2020)(183759,185070)(150000,200000)	JASDQU010012534.1	175000	1281	0.454195
(2021,2712)(392759,393454)(350000,400000)	JASDQU010012534.1	375000	693	0.544638
(183,1282)(56309,89702)(50000,100000)	JASDQU010012559.1	75000	1101	0.405061
(1075,1086)(63261,63273)(50000,100000)	JASDQU010012579.1	75000	13	0.049028
(433,720)(145089,145527)(100000,150000)	JASDQU010012661.1	125000	289	0.023724
(1638,1645)(167170,167187)(150000,200000)	JASDQU010012676.1	175000	9	0.059086
(2144,4913)(50000,85707)(50000,100000)	JASDQU010012687.1	75000	2771	0.592241
(535,909)(231899,232404)(200000,250000)	JASDQU010012707.1	225000	376	0.064677
(530,1071)(163776,191494)(150000,200000)	JASDQU010012758.1	175000	543	0.369327
(375,615)(134625,135760)(100000,150000)	JASDQU010012783.1	125000	242	0.052701
(456,1736)(157288,190089)(150000,200000)	JASDQU010012785.1	175000	1282	0.156978
(1737,1884)(207769,207925)(200000,250000)	JASDQU010012785.1	225000	149	0.075295
(1825,1870)(100531,100581)(100000,150000)	JASDQU010012792.1	125000	47	0.074695
(1871,2918)(293964,295571)(250000,300000)	JASDQU010012792.1	275000	1049	0.086468
(1681,1788)(213488,213630)(200000,250000)	JASDQU010012815.1	225000	109	0.149942
(7684,8313)(76016,76654)(50000,100000)	JASDQU010012840.1	75000	631	0.039786
(838,911)(95216,95406)(50000,100000)	JASDQU010012843.1	75000	75	0.027404
(2694,2779)(131613,131881)(100000,150000)	JASDQU010012850.1	125000	87	-0.019827
(638,776)(199675,199813)(150000,200000)	JASDQU010012855.1	175000	140	0.003820
(377,1243)(115883,116754)(100000,150000)	JASDQU010012909.1	125000	868	0.925311
(977,1125)(100000,100156)(100000,150000)	JASDQU010012914.1	125000	150	0.030706
(276,523)(320565,320841)(300000,350000)	JASDQU010012930.1	325000	249	0.278344
(1798,2609)(77381,78211)(50000,100000)	JASDQU010012940.1	75000	813	0.293836
(871,1185)(344401,344791)(300000,350000)	JASDQU010012943.1	325000	316	0.067008
(102,222)(72511,72640)(50000,100000)	JASDQU010012946.1	75000	122	0.074112
(300,378)(77828,77911)(50000,100000)	JASDQU010012960.1	75000	80	0.079599
(3,117)(100228,100349)(100000,150000)	JASDQU010012973.1	125000	116	0.013134
(157,177)(153335,153393)(150000,200000)	JASDQU010012977.1	175000	22	0.088455
(244,806)(102137,109627)(100000,150000)	JASDQU010013018.1	125000	564	0.030347
(807,860)(242591,242847)(200000,250000)	JASDQU010013018.1	225000	55	0.100513
(102,869)(194698,195470)(150000,200000)	JASDQU010013037.1	175000	769	0.655453
(4314,4845)(50966,51502)(50000,100000)	JASDQU010013045.1	75000	533	0.130083
(486,653)(156295,194223)(150000,200000)	JASDQU010013080.1	175000	169	0.086335
(700,1298)(206536,210547)(200000,250000)	JASDQU010013107.1	225000	600	0.168313
(624,1085)(204752,245283)(200000,250000)	JASDQU010013133.1	225000	463	0.047704
(1527,3577)(63531,69364)(50000,100000)	JASDQU010013151.1	75000	2052	0.245915
(818,3246)(55044,67481)(50000,100000)	JASDQU010013177.1	75000	2430	0.522745
(514,1327)(72297,79554)(50000,100000)	JASDQU010013212.1	75000	815	0.114599
(716,764)(99275,99323)(50000,100000)	JASDQU010013226.1	75000	50	0.096112
(94,1689)(184519,188653)(150000,200000)	JASDQU010013253.1	175000	1597	0.298959
(1118,1496)(183637,184646)(150000,200000)	JASDQU010013256.1	175000	380	0.037736
(108,733)(70763,86763)(50000,100000)	JASDQU010013259.1	75000	627	0.276139
(96,612)(114203,115163)(100000,150000)	JASDQU010013268.1	125000	518	0.864603
(820,1934)(74974,81914)(50000,100000)	JASDQU010013271.1	75000	1116	0.673553
(1935,2109)(161923,162106)(150000,200000)	JASDQU010013271.1	175000	176	0.010325
(2110,2636)(219962,220505)(200000,250000)	JASDQU010013271.1	225000	528	0.777718
(2090,2325)(219772,220031)(200000,250000)	JASDQU010013272.1	225000	237	0.472097
(225,310)(97659,97776)(50000,100000)	JASDQU010013282.1	75000	87	0.091828
(196,338)(118147,118295)(100000,150000)	JASDQU010013285.1	125000	144	0.518712
(940,1079)(100937,127177)(100000,150000)	JASDQU010013294.1	125000	141	0.116696
(91,572)(198952,199625)(150000,200000)	JASDQU010013303.1	175000	483	0.400327
(1042,1075)(204385,204440)(200000,250000)	JASDQU010013311.1	225000	35	0.045272
(236,873)(63206,63846)(50000,100000)	JASDQU010013315.1	75000	639	0.633924
(441,871)(60510,61082)(50000,100000)	JASDQU010013319.1	75000	432	0.405948
(704,1180)(70034,70559)(50000,100000)	JASDQU010013326.1	75000	478	0.018591
(946,1437)(163331,163864)(150000,200000)	JASDQU010013330.1	175000	493	0.392842
(44,1119)(106426,107504)(100000,150000)	JASDQU010013332.1	125000	1077	0.284606
(1988,2213)(221888,222315)(200000,250000)	JASDQU010013353.1	225000	227	0.616040
(204,335)(140338,140484)(100000,150000)	JASDQU010013357.1	125000	133	0.092811
(837,1543)(114435,115259)(100000,150000)	JASDQU010013361.1	125000	708	0.479258
(1,82)(90156,90250)(50000,100000)	JASDQU010013389.1	75000	83	0.070963
(224,1175)(72179,78112)(50000,100000)	JASDQU010013423.1	75000	953	0.535753
(153,279)(499851,499999)(450000,500000)	JASDQU010013459.1	475000	128	0.282523
(696,1123)(75978,86703)(50000,100000)	JASDQU010013477.1	75000	429	0.596761
(1124,2227)(129128,145321)(100000,150000)	JASDQU010013477.1	125000	1105	0.103399
(2228,3319)(168515,199999)(150000,200000)	JASDQU010013477.1	175000	1093	0.045068
(3320,5760)(200000,249425)(200000,250000)	JASDQU010013477.1	225000	2442	0.346857
(844,1178)(106866,107493)(100000,150000)	JASDQU010013500.1	125000	336	0.745178
(132,149)(100000,100017)(100000,150000)	JASDQU010013504.1	125000	19	0.041247
(150,587)(293065,298048)(250000,300000)	JASDQU010013504.1	275000	439	0.271176
(337,343)(257747,257759)(250000,300000)	JASDQU010013546.1	275000	8	0.204415
(3198,3322)(94390,94531)(50000,100000)	JASDQU010013573.1	75000	126	0.347050
(481,1222)(55276,89319)(50000,100000)	JASDQU010013629.1	75000	743	0.223269
(912,2023)(100325,103157)(100000,150000)	JASDQU010013654.1	125000	1113	0.223384
(350,2416)(184075,186957)(150000,200000)	JASDQU010013667.1	175000	2068	0.495876
(561,688)(116596,116723)(100000,150000)	JASDQU010013668.1	125000	129	0.018695
(2686,3318)(148564,149999)(100000,150000)	JASDQU010013693.1	125000	634	0.108746
(415,926)(86661,87433)(50000,100000)	JASDQU010013698.1	75000	513	-0.000986
(3162,3949)(150000,150789)(150000,200000)	JASDQU010013719.1	175000	789	0.293260
(174,2551)(203363,206695)(200000,250000)	JASDQU010013720.1	225000	2379	0.640417
(565,786)(106840,107153)(100000,150000)	JASDQU010013735.1	125000	223	0.047401
(4279,4357)(153029,153108)(150000,200000)	JASDQU010013740.1	175000	80	0.051019
(22,566)(149440,149999)(100000,150000)	JASDQU010013749.1	125000	546	0.076827
(325,1564)(80737,82406)(50000,100000)	JASDQU010013788.1	75000	1241	0.452856
(438,4515)(330277,336600)(300000,350000)	JASDQU010013845.1	325000	4079	0.095518
(2816,3868)(100836,121076)(100000,150000)	JASDQU010013892.1	125000	1054	0.455806
(2607,7915)(63640,80706)(50000,100000)	JASDQU010013931.1	75000	5310	0.519039
(1113,1785)(52841,58310)(50000,100000)	JASDQU010013938.1	75000	674	0.027503
(1786,1963)(123196,123380)(100000,150000)	JASDQU010013938.1	125000	179	0.125326
(323,1648)(122949,124613)(100000,150000)	JASDQU010013956.1	125000	1327	0.885793
(109,780)(237189,237959)(200000,250000)	JASDQU010013969.1	225000	673	0.143818
(428,2459)(101686,108780)(100000,150000)	JASDQU010013986.1	125000	2033	0.438460
(451,1595)(69131,73555)(50000,100000)	JASDQU010013996.1	75000	1146	-0.011970
(630,782)(149401,149575)(100000,150000)	JASDQU010014056.1	125000	154	0.020823
(783,976)(283845,284204)(250000,300000)	JASDQU010014056.1	275000	195	0.454085
(609,638)(127169,127213)(100000,150000)	JASDQU010014075.1	125000	31	0.043757
(639,943)(298072,298430)(250000,300000)	JASDQU010014075.1	275000	306	0.274899
(3261,3761)(100000,100519)(100000,150000)	JASDQU010014116.1	125000	502	0.832238
(688,2589)(61682,94375)(50000,100000)	JASDQU010014129.1	75000	1903	0.386364
(2590,2991)(156686,157095)(150000,200000)	JASDQU010014129.1	175000	403	0.370568
(429,776)(54331,54734)(50000,100000)	JASDQU010014170.1	75000	349	0.053478
(278,913)(255765,256473)(250000,300000)	JASDQU010014184.1	275000	637	0.076587
(468,4335)(50000,62476)(50000,100000)	JASDQU010014202.1	75000	3869	0.359525
(100,322)(385160,385388)(350000,400000)	JASDQU010014226.1	375000	224	0.035839
(523,1420)(291302,292203)(250000,300000)	JASDQU010014236.1	275000	899	0.249467
(376,630)(217122,217412)(200000,250000)	JASDQU010014249.1	225000	256	0.024178
(1130,1182)(168289,168401)(150000,200000)	JASDQU010014294.1	175000	54	0.448805
(797,1571)(156863,159605)(150000,200000)	JASDQU010014329.1	175000	776	0.058181
(1266,1338)(59565,59649)(50000,100000)	JASDQU010014331.1	75000	74	0.035981
(407,535)(50000,50128)(50000,100000)	JASDQU010014337.1	75000	130	-0.011250
(289,330)(137672,137726)(100000,150000)	JASDQU010014356.1	125000	43	0.283961
(2032,2330)(201117,201729)(200000,250000)	JASDQU010014358.1	225000	300	0.036306
(635,950)(84918,85243)(50000,100000)	JASDQU010014364.1	75000	317	0.055750
(951,2173)(159400,160975)(150000,200000)	JASDQU010014364.1	175000	1224	0.632699
(2174,2251)(229735,229839)(200000,250000)	JASDQU010014364.1	225000	79	0.704204
(272,352)(179664,179754)(150000,200000)	JASDQU010014365.1	175000	82	0.120632
(338,2661)(106391,111771)(100000,150000)	JASDQU010014401.1	125000	2325	0.395483
(266,1048)(65776,66563)(50000,100000)	JASDQU010014404.1	75000	784	0.778013
(73,4681)(108512,123955)(100000,150000)	JASDQU010014418.1	125000	4610	0.576317
(336,1836)(157566,178897)(150000,200000)	JASDQU010014452.1	175000	1502	0.088463
(281,755)(68617,69172)(50000,100000)	JASDQU010014468.1	75000	476	0.024738
(566,758)(122233,122426)(100000,150000)	JASDQU010014488.1	125000	194	0.040160
(759,1208)(205822,206367)(200000,250000)	JASDQU010014488.1	225000	451	0.546830
(489,1298)(58633,59455)(50000,100000)	JASDQU010014504.1	75000	811	0.310914
(2023,2819)(51480,52589)(50000,100000)	JASDQU010014523.1	75000	798	0.216416
